student_id,grade,major,skills,interests
s_001,Year 1,Computer Engineering,C++|Python|Rust,systems|NLP
s_002,Year 2,Computer Engineering,SQL|probability|TensorFlow|C++,computer vision|robotics|security|theory
s_003,Year 2,Computer Science,Linux|Java|PyTorch|TensorFlow,HCI|systems
s_004,Year 4,Computer Engineering,probability|Python|TensorFlow,PL|robotics|theory|graphics
s_005,Year 4,Data Science,algorithms|Java|Linux|Rust|probability|Python,machine learning|NLP|computer vision|robotics
s_006,Year 1,Mathematics & Computer Science,PyTorch|algorithms|Python|C++|JavaScript,graphics|robotics|computer vision|HCI
s_007,Year 1,Data Science,Linux|JavaScript|Java|PyTorch,NLP|PL|computer vision
s_008,Year 2,Computer Science,SQL|Python|Linux|algorithms|C++|Rust,security|HCI|graphics|robotics
s_009,Year 1,Mathematics & Computer Science,PyTorch|C++|Java|probability,security|machine learning|systems
s_010,Year 3,Data Science,probability|Python|SQL|PyTorch|Rust,systems|robotics
s_011,Year 2,Electrical & Computer Engineering,TensorFlow|Python|JavaScript|PyTorch|Java|Rust,NLP|PL
s_012,Year 4,Computer Engineering,Java|probability|JavaScript|C++|SQL|algorithms,NLP|security|graphics
s_013,Year 3,Computer Engineering,probability|Linux|algorithms,machine learning|graphics|theory|systems
s_014,Year 1,Electrical & Computer Engineering,C++|Rust|JavaScript|Java|TensorFlow|Linux,HCI|systems|robotics|computer vision
s_015,Year 3,Computer Engineering,JavaScript|SQL|C++|TensorFlow,machine learning|security|robotics|computer vision
s_016,Year 2,Data Science,Python|Rust|Java|Linux,security|graphics|theory|robotics
s_017,Year 1,Data Science,TensorFlow|SQL|PyTorch|JavaScript|Rust,theory|HCI|systems
s_018,Year 3,Computer Engineering,Rust|PyTorch|TensorFlow|SQL|algorithms,HCI|PL|graphics
s_019,Year 1,Mathematics & Computer Science,JavaScript|C++|Java|algorithms,systems|security|machine learning
s_020,Year 1,Electrical & Computer Engineering,algorithms|JavaScript|Linux|Java|PyTorch,NLP|HCI|PL
s_021,Year 3,Data Science,PyTorch|JavaScript|SQL|C++|Python|Java,theory|systems
s_022,Year 2,Computer Engineering,algorithms|Java|JavaScript|C++|Rust,systems|machine learning
s_023,Year 3,Electrical & Computer Engineering,Rust|C++|PyTorch|Java,security|systems|robotics
s_024,Year 1,Mathematics & Computer Science,Rust|SQL|probability|Java|TensorFlow|Python,graphics|computer vision
s_025,Year 4,Electrical & Computer Engineering,C++|probability|Java|Linux|algorithms,graphics|theory|computer vision|systems
s_026,Year 3,Data Science,Rust|TensorFlow|JavaScript|C++,graphics|theory|systems
s_027,Year 3,Mathematics & Computer Science,Java|SQL|Rust,NLP|machine learning|HCI|theory
s_028,Year 3,Computer Engineering,SQL|probability|algorithms|C++,HCI|PL|security|robotics
s_029,Year 2,Computer Engineering,Python|Java|JavaScript|probability|TensorFlow|SQL,security|NLP|theory|systems
s_030,Year 1,Computer Science,TensorFlow|Linux|Python|algorithms|SQL,theory|NLP
s_031,Year 2,Computer Science,C++|TensorFlow|SQL|Rust|Python,machine learning|systems|robotics
s_032,Year 1,Computer Engineering,Linux|Java|SQL|C++|Python|algorithms,robotics|HCI
s_033,Year 3,Data Science,Linux|PyTorch|C++|Python,NLP|theory|robotics|PL
s_034,Year 2,Data Science,probability|Rust|algorithms|C++|Java,theory|robotics
s_035,Year 2,Electrical & Computer Engineering,Python|JavaScript|TensorFlow|SQL,robotics|security|PL|computer vision
s_036,Year 2,Mathematics & Computer Science,Java|Linux|TensorFlow|Python|Rust|PyTorch,machine learning|graphics
s_037,Year 4,Computer Science,PyTorch|algorithms|SQL|Java,NLP|robotics|HCI|machine learning
