project_id,title,mentor_id,topic_ids,required_skills
proj_0001,Undergraduate research studio: benchmark for HCI workflows,m_004,t_hci,Linear algebra|Rust|CUDA|Statistics
proj_0002,Undergraduate research studio: prototype for vision workflows,m_007,t_ml_core,C++|Python
proj_0003,Undergraduate research studio: tooling for systems workflows,m_008,t_ml_core,C++|LaTeX
proj_0004,Undergraduate research studio: tooling for HCI workflows,m_009,t_cv,Python|CUDA
proj_0005,Undergraduate research studio: tooling for learning workflows,m_010,t_ml_core,C++|Probability|Linear algebra|Algorithms
proj_0006,Undergraduate research studio: analysis for HCI workflows,m_011,t_arch,CUDA|Probability
proj_0007,Undergraduate research studio: tooling for security workflows,m_012,t_sec,CUDA|Python|PyTorch|Probability
proj_0008,Undergraduate research studio: benchmark for learning workflows,m_014,t_robot,Networking|Algorithms|Statistics
proj_0009,Undergraduate research studio: prototype for learning workflows,m_015,t_ml_core,PyTorch|Systems programming
proj_0010,Undergraduate research studio: tooling for learning workflows,m_016,t_opt,LaTeX|Networking|Systems programming
proj_0011,Undergraduate research studio: tooling for systems workflows,m_017,t_prob_ml,Systems programming|HCI study methods
proj_0012,Undergraduate research studio: analysis for language workflows,m_018,t_sys,Statistics|Systems programming
proj_0013,Undergraduate research studio: analysis for security workflows,m_025,t_crypto,Algorithms|C++|Systems programming|Networking
proj_0014,Undergraduate research studio: prototype for language workflows,m_028,t_arch,Systems programming|HCI study methods
proj_0015,Undergraduate research studio: tooling for security workflows,m_030,t_edtech,Networking|HCI study methods|Systems programming|Rust
proj_0016,Undergraduate research studio: benchmark for systems workflows,m_031,t_ml_core,Linear algebra|CUDA|Systems programming|LaTeX
proj_0017,Undergraduate research studio: prototype for language workflows,m_036,t_cv,HCI study methods|Networking|Systems programming
proj_0018,Undergraduate research studio: prototype for vision workflows,m_037,t_cv,PyTorch|Systems programming|Python|Networking
proj_0019,Undergraduate research studio: analysis for systems workflows,m_038,t_hci,Systems programming|LaTeX
proj_0020,Undergraduate research studio: analysis for vision workflows,m_043,t_ml_core,C++|CUDA|Python
proj_0021,Undergraduate research studio: tooling for language workflows,m_046,t_robot,PyTorch|HCI study methods
proj_0022,Undergraduate research studio: benchmark for security workflows,m_049,t_robot,Networking|Rust|C++
proj_0023,Undergraduate research studio: prototype for vision workflows,m_053,t_ml_core,Systems programming|Probability
proj_0024,Undergraduate research studio: tooling for learning workflows,m_054,t_opt,CUDA|Networking|C++
proj_0025,Undergraduate research studio: analysis for HCI workflows,m_058,t_edtech,Probability|Rust|C++
proj_0026,Undergraduate research studio: prototype for learning workflows,m_059,t_deep,Algorithms|Systems programming
proj_0027,Undergraduate research studio: benchmark for HCI workflows,m_061,t_ml_core,Python|LaTeX|Networking
proj_0028,Undergraduate research studio: tooling for language workflows,m_062,t_prob_ml,Linear algebra|LaTeX|Algorithms
proj_0029,Undergraduate research studio: prototype for security workflows,m_064,t_sec,Probability|PyTorch
proj_0030,Undergraduate research studio: benchmark for learning workflows,m_065,t_arch,Algorithms|LaTeX|Probability|Python
proj_0031,Undergraduate research studio: tooling for learning workflows,m_070,t_crypto,PyTorch|Linear algebra|C++|Rust
proj_0032,Undergraduate research studio: benchmark for language workflows,m_071,t_ml_core,Python|PyTorch|C++
proj_0033,Undergraduate research studio: tooling for learning workflows,m_075,t_theory,Algorithms|Python|Networking|Rust
proj_0034,Undergraduate research studio: analysis for vision workflows,m_078,t_ml_core,LaTeX|Python
