mentor_id,name,department,h_index
m_001,Ryan Cole,Department of Computer Science & Engineering,46
m_002,Alice Watson,Department of Electrical Engineering & Computer Science,20
m_003,Jordan King,Department of Computer Science & Engineering,32
m_004,Thomas Tran,Department of Computing,16
m_005,David Wilson,Department of Computer Science,46
m_006,Mei Cook,School of Computer Science,57
m_007,Jason Bailey,School of Computer Science,54
m_008,Harper Jenkins,School of Computer Science,42
m_009,Leah Alexander,College of Computing & Informatics,41
m_010,Tyler Griffin,Department of Computing,39
m_011,Charles Hughes,Department of Computer & Information Science,18
m_012,Matthew Martinez,School of Computer Science,31
m_013,Benjamin Powell,Department of Computing,64
m_014,Julia Wright,Department of Computer & Information Science,24
m_015,Isabella Butler,College of Computing & Informatics,45
m_016,Yuki Hall,School of Computer Science,26
m_017,Sophia Adams,Department of Computer Science,38
m_018,Leah Collins,College of Computing & Informatics,54
m_019,Michael Campbell,Department of Computing,16
m_020,Layla Howard,Department of Computing,47
m_021,Hannah Rivera,Department of Computer Science & Engineering,49
m_022,Yuki Griffin,Department of Computer & Information Science,14
m_023,Thomas Griffin,Department of Computer & Information Science,38
m_024,Christopher Murphy,Department of Computer Science,66
m_025,Christopher Cooper,Department of Computer Science & Engineering,21
m_026,Daniel Rogers,Department of Computer & Information Science,21
m_027,Nina Johnson,Department of Computer Science & Engineering,48
m_028,Samuel Owens,Department of Computer Science,34
m_029,Jonathan Ross,Department of Computer & Information Science,32
m_030,Sofia Lee,School of Computer Science,53
m_031,Olivia Wright,Department of Electrical Engineering & Computer Science,47
m_032,Zara Taylor,Department of Computer & Information Science,37
m_033,Sofia Bailey,Department of Computer Science & Engineering,24
m_034,Stephen Bryant,Department of Computer Science,29
m_035,Joshua Watson,Department of Computer Science & Engineering,30
m_036,Lucas Wright,Department of Computer Science,28
m_037,Ava Young,Department of Computer Science & Engineering,40
m_038,Daniel Collins,Department of Computer Science & Engineering,34
m_039,Justin Walker,College of Computing & Informatics,43
m_040,Christopher Young,Department of Computer Science,49
m_041,Charles Murphy,School of Computer Science,20
m_042,Eric Price,Department of Computer Science & Engineering,19
m_043,Zara Howard,Department of Computing,26
m_044,Grace Clark,Department of Electrical Engineering & Computer Science,29
m_045,Arjun Singh,Department of Electrical Engineering & Computer Science,33
m_046,Peter Nguyen,Department of Computer Science,62
m_047,Maria Ward,Department of Computer Science & Engineering,68
m_048,Alice Hill,College of Computing & Informatics,49
m_049,Charles Cox,College of Computing & Informatics,48
m_050,Elena Gupta,Department of Computer Science,40
m_051,Maria Gonzalez,Department of Electrical Engineering & Computer Science,61
m_052,Lucas Simmons,School of Computer Science,60
m_053,Eric Brooks,College of Computing & Informatics,37
m_054,Ryan Tran,Department of Computer Science,17
m_055,Thomas Ross,School of Computer Science,23
m_056,Carlos Chavez,Department of Computing,55
m_057,Nina Bailey,College of Computing & Informatics,19
m_058,Anna Alexander,Department of Computer & Information Science,34
m_059,Matthew Cole,College of Computing & Informatics,63
m_060,Zara Lee,Department of Computer Science,36
m_061,William King,Department of Computer Science & Engineering,44
m_062,Maria Bell,Department of Computer Science,41
m_063,Aaron Wood,Department of Computing,38
m_064,Maya Adams,College of Computing & Informatics,41
m_065,Tyler Allen,Department of Computer & Information Science,50
m_066,Emily Garcia,School of Computer Science,26
m_067,Thomas Russell,Department of Electrical Engineering & Computer Science,38
m_068,Camila Cox,Department of Computer Science & Engineering,34
m_069,Stephen Park,Department of Computer & Information Science,22
m_070,Charles King,Department of Computer & Information Science,20
m_071,Joseph Taylor,College of Computing & Informatics,54
m_072,Leah Cooper,Department of Computing,39
m_073,Ryan Simmons,Department of Computer Science,22
m_074,Claire King,Department of Computer Science,57
m_075,Anna Cole,College of Computing & Informatics,24
m_076,Thomas Brown,Department of Computer & Information Science,21
m_077,Carlos Gonzalez,Department of Computer Science & Engineering,38
m_078,Tyler Collins,Department of Computer Science & Engineering,53
m_079,William Russell,Department of Computer & Information Science,44
m_080,Nadia Cox,Department of Computer Science & Engineering,25
m_081,Andrew James,School of Computer Science,44
m_082,Christopher Gonzalez,Department of Computer & Information Science,56
m_083,Isabella Campbell,Department of Computing,51
m_084,Brian Singh,Department of Computer Science,23
m_085,Peter Moore,School of Computer Science,47
m_086,Daniel Murphy,Department of Computer Science,29
m_087,James Kelly,Department of Computer Science,28
m_088,Charles Watson,Department of Computer Science & Engineering,39
m_089,Emily Jenkins,Department of Computing,36
m_090,Joseph Foster,Department of Computer Science & Engineering,44
m_091,Anna Young,School of Computer Science,31
m_092,Sofia Nelson,Department of Computing,50
m_093,Peter Murphy,School of Computer Science,58
m_094,Alice Hall,Department of Computing,21
m_095,Joshua Bennett,Department of Computer Science,37
m_096,Diego Howard,College of Computing & Informatics,42
m_097,Andrew Powell,Department of Electrical Engineering & Computer Science,48
m_098,Zara Kim,Department of Computer Science & Engineering,28
m_099,Naomi Cox,Department of Computing,15
m_100,Sara Bell,Department of Electrical Engineering & Computer Science,29
m_101,Anna Martinez,Department of Computer Science & Engineering,26
m_102,Chloe Cooper,Department of Computer Science,47
m_103,Brandon Gupta,Department of Electrical Engineering & Computer Science,32
m_104,Elena Scott,School of Computer Science,43
m_105,Matthew Lewis,College of Computing & Informatics,36
m_106,Ryan Jenkins,Department of Computing,34
m_107,Nina West,Department of Computer Science & Engineering,44
m_108,Christopher Rogers,Department of Computing,20
m_109,Sofia Long,Department of Computer Science & Engineering,27
m_110,Thomas Wright,College of Computing & Informatics,46
m_111,Anna Ramirez,Department of Electrical Engineering & Computer Science,56
